f,s,c,ibrain,stage
0.003456,0.010548,0.0070248,5,46
0.0047921,0.0073935,0.0068921,5,46
0.0030363,0.0044939,0.0050196,5,46
0.0067787,0.0096078,0.010977,5,46
0.0035099,0.0062344,0.0057045,5,46
0.0037726,0.0078269,0.0073365,5,46
0.0038389,0.011763,0.010721,5,46
0.0042759,0.0096759,0.0078971,5,46
0.0091375,0.020516,0.018705,5,46
0.0040491,0.0064813,0.0058611,5,46
0.004272,0.0071598,0.0071402,5,46
0.0048677,0.0076478,0.0076222,5,46
0.0029843,0.0090699,0.0086648,5,46
0.0040183,0.0065877,0.0064829,5,46
0.0051456,0.01031,0.010787,5,46
0.0040562,0.0067261,0.0067349,5,46
0.003262,0.0054293,0.0047816,5,46
0.0038323,0.0075892,0.0069788,5,46
0.0056987,0.008629,0.0097402,5,46
0.0037143,0.0055149,0.0057177,5,46
0.0036615,0.0065247,0.0063512,5,46
0.0042617,0.0071621,0.0074501,5,46
0.006911,0.013656,0.013575,5,46
0.0096832,0.018272,0.019339,6,46
0.010758,0.016928,0.017024,6,46
0.0074576,0.019217,0.018922,6,46
0.0098646,0.015602,0.015723,6,46
0.01716,0.012362,0.015457,6,46
0.0061031,0.0077835,0.0084729,6,46
